"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","PPP","TOT","NATUSD","A","2013",1.447123,
"AUS","PPP","TOT","NATUSD","A","2014",1.452489,
"AUS","PPP","TOT","NATUSD","A","2015",1.470809,
"AUS","PPP","TOT","NATUSD","A","2016",1.485521,
"AUS","PPP","TOT","NATUSD","A","2017",1.516225,
"AUT","PPP","TOT","NATUSD","A","2013",0.797081,
"AUT","PPP","TOT","NATUSD","A","2014",0.798797,
"AUT","PPP","TOT","NATUSD","A","2015",0.799058,
"AUT","PPP","TOT","NATUSD","A","2016",0.80042,
"AUT","PPP","TOT","NATUSD","A","2017",0.798475,
"BEL","PPP","TOT","NATUSD","A","2013",0.806166,
"BEL","PPP","TOT","NATUSD","A","2014",0.800214,
"BEL","PPP","TOT","NATUSD","A","2015",0.801323,
"BEL","PPP","TOT","NATUSD","A","2016",0.803617,
"BEL","PPP","TOT","NATUSD","A","2017",0.808339,
"CAN","PPP","TOT","NATUSD","A","2013",1.224,
"CAN","PPP","TOT","NATUSD","A","2014",1.230358,
"CAN","PPP","TOT","NATUSD","A","2015",1.246954,
"CAN","PPP","TOT","NATUSD","A","2016",1.252341,
"CAN","PPP","TOT","NATUSD","A","2017",1.260086,
"CZE","PPP","TOT","NATUSD","A","2013",12.785271,
"CZE","PPP","TOT","NATUSD","A","2014",12.70321,
"CZE","PPP","TOT","NATUSD","A","2015",13.020574,
"CZE","PPP","TOT","NATUSD","A","2016",13.000021,
"CZE","PPP","TOT","NATUSD","A","2017",12.897748,
"DNK","PPP","TOT","NATUSD","A","2013",7.354846,
"DNK","PPP","TOT","NATUSD","A","2014",7.328674,
"DNK","PPP","TOT","NATUSD","A","2015",7.327533,
"DNK","PPP","TOT","NATUSD","A","2016",7.356401,
"DNK","PPP","TOT","NATUSD","A","2017",7.356282,
"FIN","PPP","TOT","NATUSD","A","2013",0.905357,
"FIN","PPP","TOT","NATUSD","A","2014",0.90721,
"FIN","PPP","TOT","NATUSD","A","2015",0.909225,
"FIN","PPP","TOT","NATUSD","A","2016",0.905179,
"FIN","PPP","TOT","NATUSD","A","2017",0.897446,
"FRA","PPP","TOT","NATUSD","A","2013",0.811643,
"FRA","PPP","TOT","NATUSD","A","2014",0.807565,
"FRA","PPP","TOT","NATUSD","A","2015",0.813835,
"FRA","PPP","TOT","NATUSD","A","2016",0.805938,
"FRA","PPP","TOT","NATUSD","A","2017",0.798152,
"DEU","PPP","TOT","NATUSD","A","2013",0.774784,
"DEU","PPP","TOT","NATUSD","A","2014",0.768937,
"DEU","PPP","TOT","NATUSD","A","2015",0.779323,
"DEU","PPP","TOT","NATUSD","A","2016",0.780084,
"DEU","PPP","TOT","NATUSD","A","2017",0.778114,
"GRC","PPP","TOT","NATUSD","A","2013",0.631286,
"GRC","PPP","TOT","NATUSD","A","2014",0.611135,
"GRC","PPP","TOT","NATUSD","A","2015",0.610313,
"GRC","PPP","TOT","NATUSD","A","2016",0.603981,
"GRC","PPP","TOT","NATUSD","A","2017",0.593954,
"HUN","PPP","TOT","NATUSD","A","2013",124.979432,
"HUN","PPP","TOT","NATUSD","A","2014",129.414974,
"HUN","PPP","TOT","NATUSD","A","2015",133.364356,
"HUN","PPP","TOT","NATUSD","A","2016",135.170478,
"HUN","PPP","TOT","NATUSD","A","2017",137.576062,
"ISL","PPP","TOT","NATUSD","A","2013",137.022617,
"ISL","PPP","TOT","NATUSD","A","2014",138.547869,
"ISL","PPP","TOT","NATUSD","A","2015",142.233544,
"ISL","PPP","TOT","NATUSD","A","2016",144.105148,
"ISL","PPP","TOT","NATUSD","A","2017",139.862226,
"IRL","PPP","TOT","NATUSD","A","2013",0.811228,
"IRL","PPP","TOT","NATUSD","A","2014",0.819041,
"IRL","PPP","TOT","NATUSD","A","2015",0.812658,
"IRL","PPP","TOT","NATUSD","A","2016",0.811739,
"IRL","PPP","TOT","NATUSD","A","2017",0.806292,
"ITA","PPP","TOT","NATUSD","A","2013",0.737299,
"ITA","PPP","TOT","NATUSD","A","2014",0.739644,
"ITA","PPP","TOT","NATUSD","A","2015",0.742693,
"ITA","PPP","TOT","NATUSD","A","2016",0.7224,
"ITA","PPP","TOT","NATUSD","A","2017",0.71213,
"JPN","PPP","TOT","NATUSD","A","2013",101.302673,
"JPN","PPP","TOT","NATUSD","A","2014",103.052076,
"JPN","PPP","TOT","NATUSD","A","2015",102.762624,
"JPN","PPP","TOT","NATUSD","A","2016",100.278969,
"JPN","PPP","TOT","NATUSD","A","2017",98.239494,
"KOR","PPP","TOT","NATUSD","A","2013",869.081422,
"KOR","PPP","TOT","NATUSD","A","2014",871.878106,
"KOR","PPP","TOT","NATUSD","A","2015",870.933468,
"KOR","PPP","TOT","NATUSD","A","2016",874.628743,
"KOR","PPP","TOT","NATUSD","A","2017",878.77373,
"LUX","PPP","TOT","NATUSD","A","2013",0.895254,
"LUX","PPP","TOT","NATUSD","A","2014",0.884138,
"LUX","PPP","TOT","NATUSD","A","2015",0.892245,
"LUX","PPP","TOT","NATUSD","A","2016",0.88946,
"LUX","PPP","TOT","NATUSD","A","2017",0.891175,
"MEX","PPP","TOT","NATUSD","A","2013",7.884359,
"MEX","PPP","TOT","NATUSD","A","2014",8.045318,
"MEX","PPP","TOT","NATUSD","A","2015",8.5411,
"MEX","PPP","TOT","NATUSD","A","2016",8.868705,
"MEX","PPP","TOT","NATUSD","A","2017",9.285451,
"NLD","PPP","TOT","NATUSD","A","2013",0.798166,
"NLD","PPP","TOT","NATUSD","A","2014",0.808798,
"NLD","PPP","TOT","NATUSD","A","2015",0.814614,
"NLD","PPP","TOT","NATUSD","A","2016",0.816371,
"NLD","PPP","TOT","NATUSD","A","2017",0.808315,
"NZL","PPP","TOT","NATUSD","A","2013",1.445979,
"NZL","PPP","TOT","NATUSD","A","2014",1.44073,
